"id";"date";"month_name";"year";"type";"country";"area";"location";"activity";"sex";"fatal"
734;"1946-07-18";"July";1946;"Unprovoked";"Iran";"Khuzestan Province";"Ahvaz, on the Karun River, 275 km from the sea";"Water leisure activity";"M";"N"
735;"1946-07-18";"July";1946;"Unprovoked";"Iran";"Khuzestan Province";"Dorquain, on the Karun River";"Fishing, catching, or hunting";"M";"N"
736;"1946-08-18";"August";1946;"Unprovoked";"Australia";"Queensland";"Ellis Beach, 20 miles from Cairns";"Water leisure activity";"M";"Y"
737;"1944-02-27";"February";1944;"Unprovoked";"South Africa";"Western Cape Province";"False Bay";"Water leisure activity";"M";"N"
738;"1946-08-24";"August";1946;"Unprovoked";"Israel";"Gaza";"Jura Village";"Fishing, catching, or hunting";"M";"N"
739;"1944-03-14";"March";1944;"Unprovoked";"South Africa";"KwaZulu-Natal";"Country Club Beach, Durban";"Water leisure activity";"M";"N"
740;"1946-10-14";"October";1946;"Unprovoked";"Australia";"New South Wales";"Mark’s Point, Swan Bay, Lake Macquarie";"Water leisure activity";"M";"N"
741;"1946-10-26";"October";1946;"Unprovoked";"Marshall Islands";"Kwajalein";"Unknown";"Fishing, catching, or hunting";"Not specified";"Y"
742;"1944-03-26";"March";1944;"Unprovoked";"South Africa";"KwaZulu-Natal";"North Beach, Durban";"Water leisure activity";"M";"Y"
743;"1946-11-20";"November";1946;"Unprovoked";"Australia";"Torres Strait";"Unknown";"Water leisure activity";"M";"Y"
744;"1937-06-28";"June";1937;"Unprovoked";"Greece";"Unknown";"Salonika";"Not specified";"Not specified";"Y"
745;"1944-03-26";"March";1944;"Unprovoked";"South Africa";"KwaZulu-Natal";"Country Club Beach, Durban";"Water leisure activity";"M";"N"
746;"1946-12-24";"December";1946;"Boating";"Australia";"Queensland";"Auckland Creek, Gladstone";"Not specified";"Not specified";"N"
747;"1944-04-01";"April";1944;"Unprovoked";"Nicaragua";"Lake Nicaragua (fresh water)";"Unknown";"Not specified";"Not specified";"Y"
748;"1937-07-06";"July";1937;"Invalid";"Italy";"Liguria";"Borgeo Verezzi";"Not specified";"Not specified";"N"
749;"1946-12-28";"December";1946;"Unprovoked";"Australia";"South Australia";"Glenelg";"Water leisure activity";"M";"N"
750;"1944-05-04";"May";1944;"Unprovoked";"Panama";"Caribbean Sea";"Unknown";"Accidents involving falling overboard from a vessel";"M";"Y"
751;"1937-07-16";"July";1937;"Unprovoked";"Australia";"Northern Territory";"Elcho Island";"Water leisure activity";"M";"Y"
752;"1944-05-24";"May";1944;"Unprovoked";"Samoa";"Unknown";"Unknown";"Not specified";"Not specified";"N"
753;"1947-01-05";"January";1947;"Unprovoked";"South Africa";"KwaZulu-Natal";"Country Club Beach, Durban";"Water leisure activity";"M";"N"
754;"1947-01-14";"January";1947;"Boating";"Australia";"New South Wales";"Berry's Bay, Sydney Harbour";"Recreational water sport";"Not specified";"N"
755;"1947-02-01";"February";1947;"Unprovoked";"Brazil";"Rio de Janeiro";"Copacabana";"Water leisure activity";"Not specified";"Y"
756;"1937-08-02";"August";1937;"Unprovoked";"Panama";"Colon Province";"Limon Bay";"Water leisure activity";"M";"Y"
757;"1944-05-31";"May";1944;"Unprovoked";"USA";"Florida";"Atlantic Beach, Mayport,  Duval County";"Water leisure activity";"F";"N"
758;"1947-02-06";"February";1947;"Provoked";"Bahamas";"New Providence Island";"Cable Beach";"Extreme or dangerous challenges";"M";"N"
759;"1944-07-22";"July";1944;"Unprovoked";"South Africa";"Western Cape Province";"Hartenbos";"Water leisure activity";"M";"Y"
760;"1937-08-16";"August";1937;"Invalid";"Turkey";"Unknown";"Istanbul";"Water leisure activity";"M";"N"
761;"1947-02-23";"February";1947;"Boating";"Australia";"Queensland";"Palm Beach";"Fishing, catching, or hunting";"Not specified";"N"
762;"1937-08-31";"August";1937;"Unprovoked";"Australia";"Torres Strait";"Mabuiag Island, between New Guinea & Australia";"Water leisure activity";"M";"N"
763;"1937-09-01";"September";1937;"Unprovoked";"Scotland";"Argyll";"Carradale Bay, Kintyre Peninsula";"Recreational water sport";"M";"N"
764;"1947-03-09";"March";1947;"Unprovoked";"South Africa";"KwaZulu-Natal";"Country Club Beach, Durban";"Water leisure activity";"M";"N"
765;"1944-08-20";"August";1944;"Unprovoked";"South Africa";"KwaZulu-Natal";"Margate";"Water leisure activity";"M";"Y"
766;"1947-03-12";"March";1947;"Unprovoked";"South Africa";"KwaZulu-Natal";"Country Club Beach, Durban";"Water leisure activity";"M";"N"
767;"1944-09-01";"September";1944;"Unprovoked";"Caribbean Sea";"Unknown";"Unknown";"Accidents involving falling overboard from a vessel";"M";"Y"
768;"1937-09-11";"September";1937;"Boating";"Scotland";"Arran";"Fallen Rocks";"Fishing, catching, or hunting";"Not specified";"N"
769;"1947-04-06";"April";1947;"Unprovoked";"Australia";"New South Wales";"Palm Beach";"Recreational water sport";"M";"N"
770;"1944-09-03";"September";1944;"Unprovoked";"USA";"Maryland";"North Beach";"Water leisure activity";"M";"N"
771;"1937-09-12";"September";1937;"Boating";"Scotland";"Argyllshire";"Arran";"Recreational water sport";"Not specified";"N"
772;"1944-10-23";"October";1944;"Boating";"Australia";"Queensland";"Tewantin";"Fishing, catching, or hunting";"Not specified";"N"
773;"1947-04-11";"April";1947;"Unprovoked";"South Africa";"KwaZulu-Natal";"Rocket Hut Beach, Durban";"Recreational water sport";"M";"N"
774;"1947-04-20";"April";1947;"Unprovoked";"South Africa";"KwaZulu-Natal";"Country Club Beach, Durban";"Water leisure activity";"M";"N"
775;"1944-10-24";"October";1944;"Sea Disaster";"Unknown";"Unknown";"Unknown";"Sinking or failure of vessel";"M";"Y"
776;"1937-09-26";"September";1937;"Provoked";"Croatia";"Split-Dalmatia County";"Bisk";"Fishing, catching, or hunting";"M";"N"
777;"1947-05-13";"May";1947;"Unprovoked";"Kenya";"Coast Province";"Kilindini Harbor, Mombasa";"Water leisure activity";"M";"N"
778;"1944-10-25";"October";1944;"Unprovoked";"Philippines";"Unknown";"Off Cape Engano";"Water leisure activity";"M";"N"
779;"1937-10-24";"October";1937;"Unprovoked";"Australia";"New South Wales";"Byron Bay";"Recreational water sport";"M";"N"
780;"1947-06-16";"June";1947;"Boating";"Australia";"New South Wales";"Coogee";"Fishing, catching, or hunting";"Not specified";"N"
781;"1934-02-24";"February";1934;"Unprovoked";"Australia";"Torres Strait";"Adolphus Channel";"Water leisure activity";"M";"N"
782;"1937-10-24";"October";1937;"Unprovoked";"Australia";"New South Wales";"Byron Bay";"Water leisure activity";"M";"N"
783;"1947-06-27";"June";1947;"Unprovoked";"USA";"Hawaii";"Off Waianae, O'ahu";"Fishing, catching, or hunting";"M";"N"
784;"1944-10-26";"October";1944;"Sea Disaster";"Philippines";"Bernardino Strait near Gulf of Leyte";"Unknown";"Fishing, catching, or hunting";"M";"Y"
785;"1937-10-27";"October";1937;"Unprovoked";"Australia";"Queensland";"Kirra Beach, Coolangatta";"Water leisure activity";"M";"Y"
786;"1947-07-01";"July";1947;"Invalid";"Greece";"Carpathian Sea";"Dodecanese Islands";"Accidents involving falling overboard from a vessel";"M";"N"
787;"1944-10-26";"October";1944;"Sea Disaster";"Philippines";"Unknown";"Unknown";"Sinking or failure of vessel";"M";"Y"
788;"1934-03-01";"March";1934;"Provoked";"Australia";"New South Wales";"Cronulla";"Fishing, catching, or hunting";"Not specified";"N"
789;"1937-10-27";"October";1937;"Unprovoked";"Australia";"Queensland";"Kirra Beach, Coolangatta";"Water leisure activity";"M";"Y"
790;"1944-11-01";"November";1944;"Invalid";"Australia";"Queensland";"Maroochydore Beach";"Water leisure activity";"M";"Y"
791;"1934-03-12";"March";1934;"Unprovoked";"Australia";"New South Wales";"Dee Why, north of Queenscliff";"Water leisure activity";"M";"Y"
792;"1947-07-15";"July";1947;"Unprovoked";"South Africa";"KwaZulu-Natal";"North Beach, Durban";"Water leisure activity";"M";"N"
793;"1944-11-08";"November";1944;"Sea Disaster";"Sierra Leone";"Western Area";"Freetown";"Not specified";"M";"Y"
794;"1934-04-01";"April";1934;"Unprovoked";"Australia";"New South Wales";"North Steyne";"Water leisure activity";"M";"Y"
795;"1944-12-02";"December";1944;"Provoked";"USA";"Florida";"Unknown";"Fishing, catching, or hunting";"Not specified";"N"
796;"1937-11-06";"November";1937;"Sea Disaster";"Solomon Islands";"Unknown";"Unknown";"Accidents involving falling overboard from a vessel";"M";"Y"
797;"1947-07-24";"July";1947;"Unprovoked";"Australia";"Northern Territory";"Darwin Harbour";"Water leisure activity";"M";"N"
798;"1934-04-01";"April";1934;"Unprovoked";"South Africa";"KwaZulu-Natal";"Danger Pool, Winkelspruit";"Water leisure activity";"M";"N"
799;"1945-02-05";"February";1945;"Unprovoked";"Israel";"Tel Aviv";"Unknown";"Water leisure activity";"M";"N"
800;"1937-11-11";"November";1937;"Unprovoked";"Australia";"Torres Strait";"Ota Reef";"Water leisure activity";"M";"Y"
801;"1947-07-27";"July";1947;"Provoked";"USA";"California";"Santa Monica, Los Angeles County";"Fishing, catching, or hunting";"M";"N"
802;"1934-04-01";"April";1934;"Unprovoked";"South Africa";"KwaZulu-Natal";"Granny’s Pool, Winkelspruit";"Water leisure activity";"M";"Y"
803;"1947-08-04";"August";1947;"Unprovoked";"USA";"Florida";"In a canal 10 miles north of St Augustine";"Water leisure activity";"M";"Y"
804;"1947-10-10";"October";1947;"Unprovoked";"Brazil";"Pernambuco";"Piedade";"Water leisure activity";"M";"Y"
