"id";"date";"month_name";"year";"type";"country";"area";"location";"activity";"sex";"fatal"
2675;"1993-09-09";"September";1993;"Unprovoked";"USA";"Florida";"Little Talbot Island, Jacksonville, Duval County";"Not specified";"M";"N"
2676;"1992-11-12";"November";1992;"Unprovoked";"Fiji";"Wakaya Island";"Unknown";"Water leisure activity";"M";"N"
2677;"1993-09-14";"September";1993;"Unprovoked";"USA";"Florida";"Huguenot Memorial Park, Duval County";"Water leisure activity";"M";"N"
2678;"1990-10-25";"October";1990;"Unprovoked";"Australia";"South Australia";"Goolwa Beach";"Recreational water sport";"M";"N"
2679;"1993-09-16";"September";1993;"Unprovoked";"El Salvador";"La Libertad";"El Cocal Beach";"Recreational water sport";"M";"Y"
2680;"1992-11-14";"November";1992;"Boat";"USA";"California";"Ano Nuevo, San Mateo County";"Recreational water sport";"M";"N"
2681;"1990-10-27";"October";1990;"Unprovoked";"Australia";"Queensland";"Mermaid Waters";"Water leisure activity";"M";"N"
2682;"1993-09-16";"September";1993;"Unprovoked";"El Salvador";"La Libertad";"near El Cocal Beach";"Recreational water sport";"Not specified";"N"
2683;"1992-11-23";"November";1992;"Unprovoked";"USA";"Florida";"Unknown";"Recreational water sport";"M";"N"
2684;"1990-10-30";"October";1990;"Unprovoked";"USA";"Florida";"Indialantic, Brevard County";"Recreational water sport";"M";"N"
2685;"1993-09-26";"September";1993;"Unprovoked";"South Africa";"Western Cape Province";"Danger Point";"Fishing, catching, or hunting";"M";"N"
2686;"1990-10-30";"October";1990;"Unprovoked";"USA";"Florida";"Melbourne Beach, Brevard County";"Recreational water sport";"M";"N"
2687;"1985-01-18";"January";1985;"Invalid";"South Africa";"KwaZulu-Natal";"Umzimkulu";"Not specified";"M";"Y"
2688;"1993-09-30";"September";1993;"Unprovoked";"Somalia";"Banaadir Region";"Mogadishu";"Water leisure activity";"M";"Y"
2689;"1993-10-01";"October";1993;"Unprovoked";"USA";"Hawaii";"Mouth of Wallua River, Kaua'i";"Recreational water sport";"Not specified";"N"
2690;"1985-01-27";"January";1985;"Unprovoked";"South Africa";"Western Cape Province";"Struisbaai";"Water leisure activity";"M";"N"
2691;"1992-11-25";"November";1992;"Unprovoked";"USA";"Florida";"Brevard County, a mile north of Sebastian Inlet";"Recreational water sport";"M";"N"
2692;"1993-10-10";"October";1993;"Boat";"USA";"California";"Goat Rock, Bodega Bay, Sonoma County";"Recreational water sport";"F";"N"
2693;"1990-11-01";"November";1990;"Unprovoked";"USA";"Florida";"Spanish River Park Beach, Palm Beach County";"Recreational water sport";"M";"N"
2694;"1992-11-29";"November";1992;"Unprovoked";"USA";"California";"San Onofre, San Diego County";"Fishing, catching, or hunting";"M";"N"
2695;"1985-02-03";"February";1985;"Unprovoked";"USA";"Florida";"Unknown";"Recreational water sport";"M";"N"
2696;"1993-10-26";"October";1993;"Unprovoked";"USA";"Florida";"Treasure Shores Beach, Indian River County";"Water leisure activity";"F";"N"
2697;"1990-11-03";"November";1990;"Unprovoked";"USA";"California";"Monastery Beach, Carmel Bay, Monterey County";"Recreational water sport";"F";"N"
2698;"1993-10-30";"October";1993;"Unprovoked";"USA";"California";"""Bunkers"" Eureka, Humboldt County";"Recreational water sport";"M";"N"
2699;"1985-02-18";"February";1985;"Unprovoked";"USA";"California";"San Miguel Island, Santa Barbara County";"Recreational water sport";"M";"N"
2700;"1992-12-23";"December";1992;"Unprovoked";"USA";"Hawaii";"Chun's Reef, Laniakea, O'ahu";"Recreational water sport";"M";"N"
2701;"1990-11-28";"November";1990;"Unprovoked";"Australia";"Queensland";"Nerang River";"Water leisure activity";"M";"N"
2702;"1993-11-01";"November";1993;"Unprovoked";"Somalia";"Banaadir Region";"Mogadishu";"Water leisure activity";"M";"Y"
2703;"1985-03-03";"March";1985;"Unprovoked";"Australia";"South Australia";"Wiseman’s Beach, Peake Bay, Port Lincoln";"Water leisure activity";"F";"Y"
2704;"1993-11-12";"November";1993;"Unprovoked";"USA";"Hawaii";"Horners, Wailua, Kaua'i";"Recreational water sport";"M";"N"
2705;"1985-03-16";"March";1985;"Unprovoked";"USA";"Florida";"Palm Beach, Palm Beach County";"Recreational water sport";"M";"N"
2706;"1993-11-21";"November";1993;"Unprovoked";"Australia";"Western Australia";"A pearl  farm in Roebuck Bay";"Water leisure activity";"M";"Y"
2707;"1990-12-26";"December";1990;"Invalid";"South Africa";"Eastern Cape Province";"Port Elizabeth";"Not specified";"M";"N"
2708;"1992-12-28";"December";1992;"Unprovoked";"USA";"Hawaii";"Honomuni, Moloka'i";"Water leisure activity";"M";"N"
2709;"1993-11-28";"November";1993;"Unprovoked";"USA";"Florida";"North Beach Jetty, St Lucie County";"Water leisure activity";"M";"N"
2710;"1991-01-01";"January";1991;"Unprovoked";"Australia";"Queensland";"Pelican Banks near Gladstone";"Recreational water sport";"M";"N"
2711;"1993-12-01";"December";1993;"Unprovoked";"USA";"Hawaii";"Waipo";"Recreational water sport";"M";"Y"
2712;"1985-05-08";"May";1985;"Provoked";"South Africa";"KwaZulu-Natal";"Umdhloti";"Fishing, catching, or hunting";"M";"N"
2713;"1993-01-02";"January";1993;"Unprovoked";"USA";"Oregon";"Bastendorf Beach, Coos County";"Recreational water sport";"M";"N"
2714;"1991-01-09";"January";1991;"Unprovoked";"Australia";"Western Australia";"Scarborough";"Recreational water sport";"M";"N"
2715;"1994-01-03";"January";1994;"Unprovoked";"South Africa";"KwaZulu-Natal";"Hibberdene";"Water leisure activity";"M";"N"
2716;"1993-01-04";"January";1993;"Boat";"Caribbean Sea";"Unknown";"Off Dominican Republic";"Not specified";"M";"N"
2717;"1994-01-09";"January";1994;"Unprovoked";"Australia";"Queensland";"Katana Downs Reach, Brisbane River";"Water leisure activity";"M";"N"
2718;"1985-05-26";"May";1985;"Unprovoked";"USA";"California";"Long Beach, Los Angeles County";"Recreational water sport";"M";"N"
2719;"1993-01-05";"January";1993;"Unprovoked";"Australia";"Queensland";"Line Reef, northeast of Hamilton Island, Whitsundays";"Fishing, catching, or hunting";"M";"N"
2720;"1994-01-12";"January";1994;"Boat";"Australia";"Western Australia";"Albany";"Fishing, catching, or hunting";"Not specified";"N"
2721;"1991-01-19";"January";1991;"Unprovoked";"Australia";"Queensland";"Mermaid Waters";"Water leisure activity";"M";"N"
2722;"1985-07-01";"July";1985;"Unprovoked";"Italy";"Sicily";"Punta Secca";"Water leisure activity";"M";"N"
2723;"1991-02-12";"February";1991;"Unprovoked";"South Africa";"Western Cape Province";"Miller’s Point";"Fishing, catching, or hunting";"M";"N"
2724;"1994-01-30";"January";1994;"Unprovoked";"South Africa";"Eastern Cape Province";"Nahoon Beach, East London";"Recreational water sport";"M";"N"
2725;"1985-07-19";"July";1985;"Unprovoked";"USA";"South Carolina";"Folly Beach, Charleston County";"Water leisure activity";"F";"N"
2726;"1991-02-24";"February";1991;"Unprovoked";"USA";"Oregon";"Neskowin, Tillamook County";"Recreational water sport";"M";"N"
2727;"1993-01-23";"January";1993;"Unprovoked";"Brazil";"Pernambuco";"Piedade";"Recreational water sport";"M";"N"
2728;"1994-01-31";"January";1994;"Unprovoked";"USA";"Hawaii";"Velzyland, north shore of O'ahu";"Recreational water sport";"M";"Y"
2729;"1991-03-03";"March";1991;"Unprovoked";"Australia";"New South Wales";"Bass Point";"Water leisure activity";"M";"N"
2730;"1994-01-31";"January";1994;"Unprovoked";"Brazil";"Pernambuco";"Piedade";"Water leisure activity";"M";"N"
2731;"1993-02-04";"February";1993;"Provoked";"Australia";"Queensland";"Mooloolaba";"Fishing, catching, or hunting";"M";"N"
2732;"1994-02-01";"February";1994;"Unprovoked";"New Caledonia";"South Province";"Cap Goulvain";"Fishing, catching, or hunting";"Not specified";"Y"
2733;"1994-02-12";"February";1994;"Unprovoked";"South Africa";"Eastern Cape Province";"Beachview Holiday Resort";"Recreational water sport";"M";"N"
2734;"1994-02-13";"February";1994;"Provoked";"USA";"Hawaii";"Kailua Bay";"Fishing, catching, or hunting";"M";"N"
2735;"1993-02-18";"February";1993;"Sea Disaster";"Tonga";"Tongapatu Group";"Between 'Ata and Tongapatu";"Sea disaster";"M";"N"
2736;"1994-02-19";"February";1994;"Unprovoked";"USA";"Florida";"Juno Beach, Palm Beach County";"Recreational water sport";"M";"N"
2737;"1994-02-27";"February";1994;"Unprovoked";"South Africa";"Western Cape Province";"Saxon Reef";"Fishing, catching, or hunting";"M";"N"
2738;"1993-02-19";"February";1993;"Sea Disaster";"Tonga";"Tongapatu Group";"Between 'Ata and Tongapatu";"Sea disaster";"M";"N"
2739;"1994-03-01";"March";1994;"Unprovoked";"Brazil";"Pernambuco";"Boa Viagem, Recife";"Recreational water sport";"M";"N"
2740;"1993-03-01";"March";1993;"Unprovoked";"New Caledonia";"South Province";"Île de Casey";"Water leisure activity";"Not specified";"N"
2741;"1994-03-07";"March";1994;"Provoked";"USA";"California";"Unknown";"Irresponsible or dangerous behavior with sharks";"M";"N"
2742;"1995-08-26";"August";1995;"Unprovoked";"USA";"Florida";"Crescent Beach, St. Johns County";"Recreational water sport";"M";"N"
2743;"1993-03-12";"March";1993;"Unprovoked";"USA";"California";"Linda Mar Beach, Pedro Point, San Mateo County";"Fishing, catching, or hunting";"M";"N"
2744;"1994-03-23";"March";1994;"Unprovoked";"Chile";"Unknown";"Unknown";"Water leisure activity";"M";"N"
2745;"1995-08-27";"August";1995;"Unprovoked";"Brazil";"Pernambuco";"Boa Viagem, Recife";"Recreational water sport";"M";"N"
2746;"1994-03-23";"March";1994;"Unprovoked";"Chile";"Unknown";"Unknown";"Water leisure activity";"F";"N"
2747;"1993-03-14";"March";1993;"Unprovoked";"USA";"Hawaii";"Paradise Bay (next to Wailua Bay), Maui";"Recreational water sport";"M";"N"
2748;"1997-09-09";"September";1997;"Unprovoked";"USA";"Florida";"Volusia County";"Recreational water sport";"M";"N"
2749;"1995-08-31";"August";1995;"Unprovoked";"USA";"South Carolina";"Myrtle Beach, Horry County";"Water leisure activity";"M";"N"
2750;"1994-04-02";"April";1994;"Unprovoked";"South Africa";"Western Cape Province";"Arniston";"Fishing, catching, or hunting";"M";"Y"
2751;"1997-09-16";"September";1997;"Unprovoked";"Brazil";"Pernambuco";"Boa Viagem, Recife";"Water leisure activity";"M";"Y"
2752;"1994-04-03";"April";1994;"Unprovoked";"USA";"Florida";"Miami Beach, Dade County";"Water leisure activity";"M";"N"
2753;"1995-08-31";"August";1995;"Unprovoked";"USA";"Florida";"North Beach Inlet, St. Lucie County";"Recreational water sport";"M";"N"
2754;"1997-10-04";"October";1997;"Unprovoked";"USA";"Florida";"Daytona Beach, Volusia County";"Water leisure activity";"F";"N"
2755;"1994-04-06";"April";1994;"Unprovoked";"Bahamas";"Unknown";"Rum Cay";"Water leisure activity";"M";"N"
2756;"1993-03-17";"March";1993;"Unprovoked";"Japan";"Ehime Prefecture";"Iyo";"Not specified";"Not specified";"N"
2757;"1995-09-03";"September";1995;"Invalid";"USA";"North Carolina";"Bald Head Island, Brunswick County";"Water leisure activity";"M";"N"
2758;"1997-10-11";"October";1997;"Boat";"South Africa";"Eastern Cape Province";"Off Port Alfred";"Fishing, catching, or hunting";"Not specified";"N"
2759;"1994-04-15";"April";1994;"Unprovoked";"Reunion";"Saint-Joseph";"Lieu-dit Cayenne";"Not specified";"Not specified";"Y"
2760;"1993-03-22";"March";1993;"Unprovoked";"USA";"Florida";"Singer Island, Riviera Beach, Palm Beach County";"Water leisure activity";"M";"N"
2761;"1994-04-16";"April";1994;"Invalid";"USA";"California";"Sunset Cliffs, San Diego, San Diego County";"Not specified";"F";"Y"
2762;"1997-10-21";"October";1997;"Unprovoked";"USA";"Florida";"North Jetty, Fort Pierce Inlet State Park, St. Lucie County";"Recreational water sport";"M";"N"
2763;"1994-05-15";"May";1994;"Unprovoked";"USA";"Florida";"New Smyrna Beach, Volusia County";"Recreational water sport";"M";"N"
2764;"1995-09-03";"September";1995;"Unprovoked";"USA";"California";"Shelter Cove, Humboldt County";"Recreational water sport";"M";"N"
2765;"1997-10-24";"October";1997;"Unprovoked";"USA";"Florida";"North Jetty, Fort Pierce Inlet State Park, St. Lucie County";"Recreational water sport";"M";"N"
2766;"1994-05-23";"May";1994;"Unprovoked";"USA";"Florida";"New Smyrna Beach, Volusia County";"Water leisure activity";"M";"N"
2767;"1995-09-11";"September";1995;"Unprovoked";"Australia";"Western Australia";"Honeymoon Island, near Hopetown";"Water leisure activity";"M";"Y"
2768;"1997-10-28";"October";1997;"Unprovoked";"USA";"Hawaii";"Waiokapua Bay/Majors Bay, Brennecke Beach, Poipu, Kaua'i Island";"Recreational water sport";"M";"N"
2769;"1994-05-24";"May";1994;"Unprovoked";"USA";"Florida";"Spessard Holland Park, Melbourne Beach, Brevard County";"Water leisure activity";"F";"N"
2770;"1993-03-27";"March";1993;"Unprovoked";"Brazil";"Pernambuco";"Paiva";"Recreational water sport";"M";"N"
2771;"1995-09-13";"September";1995;"Unprovoked";"USA";"Florida";"Alligator Reef, off Islamorada, Monroe County";"Water leisure activity";"M";"Y"
2772;"1994-05-28";"May";1994;"Unprovoked";"USA";"Florida";"Unknown";"Fishing, catching, or hunting";"M";"N"
2773;"1997-10-28";"October";1997;"Unprovoked";"Australia";"Western Australia";"Cottesloe Beach, Perth";"Recreational water sport";"M";"N"
2774;"1994-05-31";"May";1994;"Unprovoked";"USA";"Florida";"Daytona Beach, Volusia County";"Recreational water sport";"M";"N"
2775;"1995-09-16";"September";1995;"Unprovoked";"Reunion";"Saint-Denis";"Unknown";"Recreational water sport";"M";"Y"
2776;"1993-04-01";"April";1993;"Invalid";"Australia";"Tasmania";"Barren Joey Island";"Fishing, catching, or hunting";"M";"N"
2777;"1997-11-05";"November";1997;"Invalid";"Australia";"New South Wales";"Botany Bay";"Not specified";"M";"Y"
2778;"1994-05-31";"May";1994;"Unprovoked";"USA";"Florida";"Ponce Inlet, Volusia County";"Recreational water sport";"M";"N"
2779;"1995-09-17";"September";1995;"Unprovoked";"USA";"Florida";"Daytona Beach, Volusia County";"Water leisure activity";"F";"N"
2780;"1993-05-01";"May";1993;"Unprovoked";"Somalia";"Banaadir Region";"Arroyo Beach, Mogadishu";"Water leisure activity";"F";"Y"
2781;"1997-11-05";"November";1997;"Unprovoked";"USA";"Florida";"Unknown";"Water leisure activity";"M";"N"
2782;"1994-06-24";"June";1994;"Unprovoked";"Bahamas";"Grand Bahama Island";"Freeport";"Fishing, catching, or hunting";"M";"N"
2783;"1995-09-19";"September";1995;"Unprovoked";"USA";"Florida";"Matanzas Bay Inlet, St. Johns County";"Recreational water sport";"M";"N"
2784;"1997-11-09";"November";1997;"Unprovoked";"Australia";"Western Australia";"Albany";"Water leisure activity";"M";"N"
2785;"1994-07-08";"July";1994;"Unprovoked";"USA";"Florida";"New Smyrna Beach, Volusia County";"Recreational water sport";"M";"N"
2786;"1993-05-01";"May";1993;"Unprovoked";"Hong Kong";"On the Kowloon penisula, south of Sai Kung";"Silverstrand";"Not specified";"F";"Y"
2787;"1994-07-08";"July";1994;"Unprovoked";"Brazil";"Pernambuco";"Boa Viagem, Recife";"Recreational water sport";"M";"N"
2788;"1997-12-25";"December";1997;"Unprovoked";"USA";"Florida";"Hollywood Beach, Broward County";"Water leisure activity";"M";"N"
2789;"1995-09-28";"September";1995;"Unprovoked";"USA";"California";"Davenport Landing, Santa Cruz County";"Recreational water sport";"M";"N"
2790;"1993-06-01";"June";1993;"Unprovoked";"USA";"North Carolina";"Hamstead, Pender County";"Water leisure activity";"F";"N"
2791;"1994-07-09";"July";1994;"Unprovoked";"South Africa";"Eastern Cape Province";"Nahoon Beach, East London";"Recreational water sport";"M";"N"
2792;"1997-12-25";"December";1997;"Invalid";"USA";"Florida";"Fort Lauderdale, Broward County";"Not specified";"F";"N"
2793;"1995-09-30";"September";1995;"Unprovoked";"USA";"Florida";"North Beach, Hutchinson Island, St. Lucie County";"Recreational water sport";"M";"N"
2794;"1994-07-09";"July";1994;"Unprovoked";"South Africa";"Eastern Cape Province";"Nahoon Beach, East London";"Recreational water sport";"M";"Y"
2795;"1997-12-28";"December";1997;"Unprovoked";"South Africa";"Eastern Cape Province";"St. Francis Bay";"Recreational water sport";"M";"N"
2796;"1995-09-30";"September";1995;"Unprovoked";"USA";"Florida";"Crescent Beach, St. Augustine, St. Johns County";"Recreational water sport";"M";"N"
2797;"1993-06-01";"June";1993;"Unprovoked";"Hong Kong";"New Territories";"Sheung Sz Wan";"Water leisure activity";"M";"Y"
2798;"1994-07-09";"July";1994;"Unprovoked";"Reunion";"Saint-Denis";"Barachois";"Recreational water sport";"M";"Y"
2799;"1997-12-28";"December";1997;"Unprovoked";"South Africa";"Western Cape Province";"Pringle Bay, 44 miles southeast of Cape Town";"Fishing, catching, or hunting";"M";"Y"
2800;"1995-10-01";"October";1995;"Unprovoked";"USA";"Florida";"Ormond Beach, Volusia County";"Recreational water sport";"M";"N"
2801;"1994-07-09";"July";1994;"Unprovoked";"Brazil";"Pernambuco";"Boa Viagem, Recife";"Water leisure activity";"M";"Y"
2802;"1998-01-14";"January";1998;"Unprovoked";"Mozambique";"Maputo Province";"Ponta do Ouro";"Recreational water sport";"M";"N"
2803;"1994-07-24";"July";1994;"Unprovoked";"Brazil";"Pernambuco";"Boa Viagem, Recife";"Recreational water sport";"M";"N"
2804;"1995-10-11";"October";1995;"Unprovoked";"Australia";"Queensland";"Pialba, Hervey Bay";"Water leisure activity";"F";"N"
2805;"1998-01-17";"January";1998;"Unprovoked";"Australia";"South Australia";"Middleton Beach";"Recreational water sport";"M";"N"
2806;"1993-06-05";"June";1993;"Unprovoked";"Australia";"Tasmania";"Tenth Island (King Island)";"Water leisure activity";"F";"Y"
2807;"1994-08-22";"August";1994;"Unprovoked";"Japan";"Kagoshima Prefecture";"Tatsugo-cho";"Not specified";"Not specified";"N"
2808;"1998-01-25";"January";1998;"Unprovoked";"South Africa";"Eastern Cape Province";"East London";"Recreational water sport";"M";"N"
2809;"1995-10-21";"October";1995;"Unprovoked";"USA";"Florida";"North Beach, St. Lucie County";"Recreational water sport";"M";"N"
2810;"1994-09-05";"September";1994;"Unprovoked";"USA";"Hawaii";"Makaha Surf Beach";"Water leisure activity";"F";"N"
2811;"1993-06-09";"June";1993;"Unprovoked";"Australia";"New South Wales";"Julian Rocks, Byron Bay";"Water leisure activity";"M";"Y"
2812;"1998-01-25";"January";1998;"Unprovoked";"Reunion";"Grand'Anse";"Unknown";"Water leisure activity";"M";"Y"
2813;"1995-10-28";"October";1995;"Unprovoked";"USA";"Florida";"Unknown";"Recreational water sport";"M";"N"
2814;"1994-09-11";"September";1994;"Sea Disaster";"USA";"Florida";"Florida Straits";"Water leisure activity";"M";"Y"
2815;"1998-01-28";"January";1998;"Unprovoked";"New Caledonia";"South Province";"l'Anse-Vata";"Recreational water sport";"M";"N"
2816;"1993-06-10";"June";1993;"Unprovoked";"USA";"Hawaii";"Goats Island (Moku’auia Island), Malaekahana State Recreation Area, Laie, O'ahu";"Recreational water sport";"M";"N"
2817;"1994-09-21";"September";1994;"Unprovoked";"USA";"Oregon";"Short Sand Beach, Oswald West State Park";"Recreational water sport";"M";"N"
2818;"1995-11-17";"November";1995;"Unprovoked";"Australia";"Queensland";"Great Keppel Island";"Not specified";"M";"N"
2819;"1998-01-28";"January";1998;"Invalid";"Australia";"New South Wales";"Whale Beach";"Fishing, catching, or hunting";"M";"Y"
2820;"1994-09-26";"September";1994;"Unprovoked";"USA";"South Carolina";"North Forest Beach, near Hilton Head, Beaufort County";"Water leisure activity";"F";"N"
2821;"1993-06-11";"June";1993;"Unprovoked";"Mexico";"Quintana Roo";"Santa Rosa Shallows, Cozumel";"Water leisure activity";"F";"Y"
2822;"1995-11-25";"November";1995;"Unprovoked";"Northern Arabian Sea";"Unknown";"Unknown";"Accidents involving falling overboard from a vessel";"M";"N"
2823;"1998-02-23";"February";1998;"Unprovoked";"USA";"Florida";"Jensen Beach, Martin County";"Water leisure activity";"M";"N"
2824;"1994-10-05";"October";1994;"Unprovoked";"USA";"Florida";"Indialantic, Brevard County";"Recreational water sport";"M";"N"
2825;"1993-06-11";"June";1993;"Unprovoked";"Hong Kong";"New Territories";"Silverstrand";"Water leisure activity";"M";"Y"
2826;"1994-10-08";"October";1994;"Provoked";"USA";"Florida";"Bill Baggs Cape Florida State Recreation Area, Miami-Dade County";"Water leisure activity";"F";"N"
2827;"1998-03-08";"March";1998;"Unprovoked";"USA";"Florida";"Loggerhead Park, Juno Beach, Palm Beach County";"Recreational water sport";"M";"N"
2828;"1995-11-25";"November";1995;"Invalid";"USA";"Hawaii";"Ha'ena, Kaua'i";"Not specified";"M";"N"
2829;"1994-10-17";"October";1994;"Unprovoked";"Brazil";"Pernambuco";"Piedade";"Recreational water sport";"M";"N"
2830;"1993-06-29";"June";1993;"Unprovoked";"Reunion";"Saint-Paul";"Cap de la Marianne";"Recreational water sport";"M";"N"
2831;"1998-03-15";"March";1998;"Unprovoked";"South Africa";"Western Cape Province";"Saldanha Bay";"Fishing, catching, or hunting";"M";"N"
2832;"1995-11-29";"November";1995;"Unprovoked";"New Zealand";"Chatham Islands, east of New  Zealand";"Unknown";"Fishing, catching, or hunting";"M";"N"
2833;"1994-10-18";"October";1994;"Unprovoked";"Brazil";"Pernambuco";"Piedade";"Recreational water sport";"Not specified";"N"
2834;"1998-03-31";"March";1998;"Unprovoked";"USA";"Florida";"Jensen Beach Park, Martin County";"Water leisure activity";"M";"N"
2835;"1995-12-18";"December";1995;"Unprovoked";"USA";"Hawaii";"Southwest of O'ahu";"Not specified";"M";"Not specified"
2836;"1998-04-01";"April";1998;"Unprovoked";"New Caledonia";"Unknown";"Île de Sable";"Not specified";"Not specified";"N"
2837;"1996-01-10";"January";1996;"Unprovoked";"Reunion";"Saint-Paul";"Embouchure de l'étang de Saint Paul";"Recreational water sport";"M";"Y"
2838;"1998-04-01";"April";1998;"Unprovoked";"Brazil";"Pernambuco";"Boa Viagem, Recife";"Water leisure activity";"M";"Y"
2839;"1994-11-06";"November";1994;"Unprovoked";"USA";"Hawaii";"Kealia Beach, Kaua'i";"Recreational water sport";"Not specified";"N"
2840;"1998-04-17";"April";1998;"Provoked";"USA";"Florida";"Marathon, Monroe County";"Water leisure activity";"M";"N"
2841;"1996-01-12";"January";1996;"Boat";"Australia";"New South Wales";"Eight-mile reef off Port Kembla";"Fishing, catching, or hunting";"Not specified";"N"
2842;"1994-11-13";"November";1994;"Unprovoked";"USA";"Hawaii";"Off the Hanalei River, Kaua'i";"Recreational water sport";"F";"N"
2843;"1998-04-21";"April";1998;"Unprovoked";"USA";"Oregon";"Gleneden Beach";"Recreational water sport";"M";"N"
2844;"1996-01-14";"January";1996;"Unprovoked";"Australia";"Western Australia";"Mutton Bird Island, Albany";"Not specified";"Not specified";"Not specified"
2845;"1994-11-25";"November";1994;"Unprovoked";"South Africa";"Western Cape Province";"Mossel Bay";"Fishing, catching, or hunting";"M";"N"
2846;"1998-04-26";"April";1998;"Unprovoked";"Mozambique";"Gaza";"Bilene Bay, 180 km north of Maputo";"Incidents involving maintenance tasks or routine work";"F";"Y"
2847;"1994-12-01";"December";1994;"Unprovoked";"Brazil";"Pernambuco";"Paiva";"Recreational water sport";"M";"Y"
2848;"1996-01-16";"January";1996;"Unprovoked";"USA";"Hawaii";"Ka’eleki’I Point, Maui";"Water leisure activity";"M";"N"
2849;"1998-05-16";"May";1998;"Unprovoked";"South Africa";"Western Cape Province";"Keurbooms";"Recreational water sport";"M";"N"
2850;"1994-12-09";"December";1994;"Unprovoked";"USA";"California";"San Miguel Island, Santa Barbara County";"Water leisure activity";"M";"Y"
2851;"1996-01-22";"January";1996;"Unprovoked";"Australia";"Queensland";"Brown's Inlet, Broadwater";"Water leisure activity";"F";"N"
2852;"1998-05-16";"May";1998;"Unprovoked";"USA";"Florida";"Walden Rocks, St. Lucie County";"Recreational water sport";"M";"N"
2853;"1994-12-09";"December";1994;"Invalid";"Australia";"Queensland";"Hinchinbrook Channel, Queensland";"Disappearances, investigations into crime, or suicide";"M";"N"
2854;"1996-01-23";"January";1996;"Provoked";"USA";"Florida";"Florida Keys, Monroe County";"Water leisure activity";"M";"N"
2855;"1994-12-10";"December";1994;"Unprovoked";"Vanuatu";"Tafea Province";"Aniwa Island";"Not specified";"Not specified";"Not specified"
2856;"1998-05-16";"May";1998;"Unprovoked";"USA";"Florida";"Pecks Lake, Martin County";"Water leisure activity";"F";"N"
2857;"1998-05-25";"May";1998;"Unprovoked";"USA";"Florida";"New Smyrna Beach, Volusia County";"Recreational water sport";"M";"N"
2858;"1996-02-04";"February";1996;"Unprovoked";"Australia";"New South Wales";"Ned's Beach, Lord Howe Island";"Water leisure activity";"M";"N"
2859;"1998-05-29";"May";1998;"Unprovoked";"South Africa";"Eastern Cape Province";"Jeffreys Bay";"Recreational water sport";"M";"N"
2860;"1996-02-10";"February";1996;"Unprovoked";"Papua New Guinea";"Madang Province";"Madang";"Water leisure activity";"Not specified";"Y"
2861;"1994-12-11";"December";1994;"Unprovoked";"Brazil";"Pernambuco";"Paiva";"Recreational water sport";"M";"N"
2862;"1998-05-29";"May";1998;"Unprovoked";"South Africa";"Eastern Cape Province";"Sardinia Bay near Port Elizabeth";"Recreational water sport";"M";"N"
2863;"1994-12-13";"December";1994;"Unprovoked";"Brazil";"Pernambuco";"Piedade";"Recreational water sport";"M";"N"
2864;"1996-02-10";"February";1996;"Unprovoked";"Papua New Guinea";"Madang Province";"Madang";"Not specified";"Not specified";"N"
2865;"1994-12-18";"December";1994;"Unprovoked";"USA";"Hawaii";"Kinikini, Mana, Kaua'i";"Recreational water sport";"Not specified";"N"
2866;"1998-05-30";"May";1998;"Unprovoked";"South Africa";"Eastern Cape Province";"Pollock Beach";"Recreational water sport";"M";"N"
2867;"1994-12-30";"December";1994;"Unprovoked";"South Africa";"Western Cape Province";"Mossel Bay";"Recreational water sport";"M";"N"
2868;"1996-02-10";"February";1996;"Unprovoked";"Papua New Guinea";"Madang Province";"Madang";"Not specified";"M";"Y"
2869;"1998-06-05";"June";1998;"Unprovoked";"South Africa";"Eastern Cape Province";"Jeffrey's Bay";"Recreational water sport";"M";"N"
2870;"1995-01-02";"January";1995;"Unprovoked";"Brazil";"Pernambuco";"Piedade";"Recreational water sport";"M";"N"
2871;"1998-06-08";"June";1998;"Unprovoked";"USA";"Florida";"Daytona Beach, Volusia County";"Recreational water sport";"M";"N"
2872;"1996-02-19";"February";1996;"Provoked";"USA";"Missouri";"St. Louis";"Fishing, catching, or hunting";"F";"N"
2873;"1998-06-22";"June";1998;"Unprovoked";"South Africa";"Eastern Cape Province";"Gonubie, 13 km northeast of East London";"Recreational water sport";"M";"Y"
2874;"1996-02-26";"February";1996;"Unprovoked";"Australia";"New South Wales";"Charles Street Wharf, Parramatta River";"Water leisure activity";"M";"N"
2875;"1995-01-24";"January";1995;"Unprovoked";"South Africa";"KwaZulu-Natal";"Isipingo";"Water leisure activity";"M";"Y"
2876;"1998-06-28";"June";1998;"Unprovoked";"Australia";"South Australia";"South Neptune Island";"Water leisure activity";"M";"Y"
2877;"1996-03-01";"March";1996;"Unprovoked";"Australia";"New South Wales";"Lord Howe Island";"Fishing, catching, or hunting";"M";"N"
2878;"1995-02-01";"February";1995;"Unprovoked";"Venezuela";"Unknown";"Unknown";"Recreational water sport";"M";"N"
2879;"1998-07-06";"July";1998;"Unprovoked";"South Africa";"Western Cape Province";"Plettenberg Bay";"Recreational water sport";"M";"N"
2880;"1995-02-19";"February";1995;"Unprovoked";"South Africa";"Eastern Cape Province";"Kidd’s Beach";"Water leisure activity";"M";"N"
2881;"1998-07-06";"July";1998;"Unprovoked";"South Africa";"Western Cape Province";"Plettenberg Bay";"Water leisure activity";"M";"N"
